Timestamp,Cpacidad disponible, Capacidad utilizada,% Memoria utilizada 
19:17:35,2649416,1388760,34.390774
19:17:40,2649416,1388760,34.390774
19:17:45,2649416,1388760,34.390774
19:17:50,2649416,1388760,34.390774
19:17:55,2649416,1388760,34.390774
19:18:00,2649416,1388760,34.390774
19:18:05,2649540,1388636,34.387703
19:18:10,2649540,1388636,34.387703
19:18:15,2649540,1388636,34.387703
19:18:20,2649540,1388636,34.387703
19:18:25,2649540,1388636,34.387703
19:18:30,2649540,1388636,34.387703
19:18:35,2649540,1388636,34.387703
19:18:40,2649540,1388636,34.387703
19:18:45,2649540,1388636,34.387703
19:18:50,2649540,1388636,34.387703
19:18:55,2649540,1388636,34.387703
19:19:00,2649536,1388640,34.387802
19:19:05,2649664,1388512,34.384632
19:19:10,2649664,1388512,34.384632
19:19:15,2649664,1388512,34.384632
19:19:20,2649664,1388512,34.384632
19:19:25,2649664,1388512,34.384632
19:19:30,2649664,1388512,34.384632
19:19:35,2649664,1388512,34.384632
19:19:40,2649664,1388512,34.384632
19:19:45,2649664,1388512,34.384632
19:19:50,2649664,1388512,34.384632
19:19:55,2649664,1388512,34.384632
19:20:00,2649632,1388544,34.385426
19:20:05,2649664,1388512,34.384632
19:20:10,2649664,1388512,34.384632
19:20:15,2649664,1388512,34.384632
19:20:20,2649664,1388512,34.384632
19:20:25,2649664,1388512,34.384632
19:20:30,2649664,1388512,34.384632
19:20:35,2649664,1388512,34.384632
19:20:40,2649664,1388512,34.384632
19:20:45,2649664,1388512,34.384632
19:20:50,2649664,1388512,34.384632
19:20:55,2649664,1388512,34.384632
19:21:00,2649852,1388324,34.37998
19:21:05,2649664,1388512,34.384632
19:21:10,2649788,1388388,34.38156
19:21:15,2649788,1388388,34.38156
19:21:20,2649788,1388388,34.38156
19:21:25,2649788,1388388,34.38156
19:21:30,2649788,1388388,34.38156
19:21:35,2649788,1388388,34.38156
19:21:40,2649788,1388388,34.38156
19:21:45,2649788,1388388,34.38156
19:21:50,2649788,1388388,34.38156
19:21:55,2649788,1388388,34.38156
19:22:00,2649944,1388232,34.3777
19:22:05,2649912,1388264,34.378494
19:22:10,2649912,1388264,34.378494
19:22:15,2649912,1388264,34.378494
19:22:20,2649912,1388264,34.378494
19:22:25,2649912,1388264,34.378494
19:22:30,2649912,1388264,34.378494
19:22:35,2649912,1388264,34.378494
19:22:40,2649912,1388264,34.378494
19:22:45,2649912,1388264,34.378494
19:22:50,2649912,1388264,34.378494
19:22:55,2649912,1388264,34.378494
19:23:00,2650004,1388172,34.376213
19:23:05,2650036,1388140,34.37542
19:23:10,2650036,1388140,34.37542
19:23:15,2650036,1388140,34.37542
19:23:20,2650036,1388140,34.37542
19:23:25,2650036,1388140,34.37542
19:23:30,2650036,1388140,34.37542
19:23:35,2650036,1388140,34.37542
19:23:40,2650036,1388140,34.37542
19:23:45,2650036,1388140,34.37542
19:23:50,2650036,1388140,34.37542
19:23:55,2650036,1388140,34.37542
19:24:00,2650132,1388044,34.373047
19:24:05,2650036,1388140,34.37542
